trial_id,policy,cumulative_cost,budget,lambda
0,4mv5ivhm,184,20,0
1,4mv5ivhm,151,20,0
2,4mv5ivhm,129,20,0
3,4mv5ivhm,186,20,0
4,4mv5ivhm,191,20,0
5,4mv5ivhm,91,20,0
6,4mv5ivhm,83,20,0
7,4mv5ivhm,83,20,0
8,4mv5ivhm,104,20,0
9,4mv5ivhm,95,20,0
0,6tlvumqh,161,20,0
1,6tlvumqh,187,20,0
2,6tlvumqh,235,20,0
3,6tlvumqh,182,20,0
4,6tlvumqh,233,20,0
5,6tlvumqh,339,20,0
6,6tlvumqh,126,20,0
7,6tlvumqh,141,20,0
8,6tlvumqh,181,20,0
9,6tlvumqh,128,20,0
0,15bndpab,70,20,0
1,15bndpab,116,20,0
2,15bndpab,69,20,0
3,15bndpab,94,20,0
4,15bndpab,109,20,0
5,15bndpab,133,20,0
6,15bndpab,30,20,0
7,15bndpab,54,20,0
8,15bndpab,69,20,0
9,15bndpab,275,20,0
0,8fhqmagq,384,20,0
1,8fhqmagq,305,20,0
2,8fhqmagq,239,20,0
3,8fhqmagq,392,20,0
4,8fhqmagq,407,20,0
5,8fhqmagq,475,20,0
6,8fhqmagq,371,20,0
7,8fhqmagq,311,20,0
8,8fhqmagq,363,20,0
9,8fhqmagq,196,20,0
0,81dgckxq,241,20,0
1,81dgckxq,227,20,0
2,81dgckxq,248,20,0
3,81dgckxq,247,20,0
4,81dgckxq,247,20,0
5,81dgckxq,328,20,0
6,81dgckxq,140,20,0
7,81dgckxq,198,20,0
8,81dgckxq,355,20,0
9,81dgckxq,108,20,0
0,wwobylij,25,20,0.05
1,wwobylij,64,20,0.05
2,wwobylij,40,20,0.05
3,wwobylij,89,20,0.05
4,wwobylij,48,20,0.05
5,wwobylij,85,20,0.05
6,wwobylij,30,20,0.05
7,wwobylij,30,20,0.05
8,wwobylij,10,20,0.05
9,wwobylij,18,20,0.05
0,3kw9lrt8,5,20,0.05
1,3kw9lrt9,19,20,0.05
2,3kw9lrt10,1,20,0.05
3,3kw9lrt11,12,20,0.05
4,3kw9lrt12,11,20,0.05
5,3kw9lrt13,1,20,0.05
6,3kw9lrt14,18,20,0.05
7,3kw9lrt15,7,20,0.05
8,3kw9lrt16,14,20,0.05
9,3kw9lrt17,8,20,0.05
0,w0kri304,1,20,0.05
1,w0kri305,1,20,0.05
2,w0kri306,4,20,0.05
3,w0kri307,4,20,0.05
4,w0kri308,2,20,0.05
5,w0kri309,6,20,0.05
6,w0kri310,0,20,0.05
7,w0kri311,10,20,0.05
8,w0kri312,2,20,0.05
9,w0kri313,8,20,0.05
0,eetu68oh,36,20,0.05
1,eetu68oh,116,20,0.05
2,eetu68oh,79,20,0.05
3,eetu68oh,73,20,0.05
4,eetu68oh,72,20,0.05
5,eetu68oh,56,20,0.05
6,eetu68oh,123,20,0.05
7,eetu68oh,49,20,0.05
8,eetu68oh,53,20,0.05
9,eetu68oh,24,20,0.05
0,13jrqp87,58,20,0.05
1,13jrqp88,130,20,0.05
2,13jrqp89,61,20,0.05
3,13jrqp90,39,20,0.05
4,13jrqp91,32,20,0.05
5,13jrqp92,53,20,0.05
6,13jrqp93,359,20,0.05
7,13jrqp94,17,20,0.05
8,13jrqp95,26,20,0.05
9,13jrqp96,453,20,0.05
0,ujx33tak,0,20,0.1
1,ujx33tak,0,20,0.1
2,ujx33tak,0,20,0.1
3,ujx33tak,1,20,0.1
4,ujx33tak,nan,20,0.1
5,ujx33tak,0,20,0.1
6,ujx33tak,0,20,0.1
7,ujx33tak,1,20,0.1
8,ujx33tak,0,20,0.1
9,ujx33tak,0,20,0.1
0,cgijslzt,nan,20,0.1
1,cgijslzt,0,20,0.1
2,cgijslzt,nan,20,0.1
